OccurrenceID;Dvpt type;Mission;Year;Latitude;Longitude;Station;Station_Year;Bioregion;Depth (GEBCO);PF;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species2
4052;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.72222;-43.00217;-60,72222_-43,00217;-60,72222_-43,00217_2016;South Orkney Islands;-1139;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4053;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.82139;-46.48569;-60,82139_-46,48569;-60,82139_-46,48569_2016;South Orkney Islands;-210;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4054;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.94209;-45.23131;-60,94209_-45,23131;-60,94209_-45,23131_2016;South Orkney Islands;-285;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4055;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.99443;-46.83181;-60,99443_-46,83181;-60,99443_-46,83181_2016;South Orkney Islands;-507;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4056;Planktotrophic;JR15005 British Antarctic Survey;2016;-61.16033;-44.0395;-61,16033_-44,0395;-61,16033_-44,0395_2016;South Orkney Islands;-354;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4057;Planktotrophic;JR15005 British Antarctic Survey;2016;-62.16168;-44.98773;-62,16168_-44,98773;-62,16168_-44,98773_2016;South Orkney Islands;-530;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4058;Planktotrophic;JR15005 British Antarctic Survey;2016;-62.33015;-44.54167;-62,33015_-44,54167;-62,33015_-44,54167_2016;South Orkney Islands;-1012;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4059;Brooding;JR15005 British Antarctic Survey;2016;-61.812099;-47.465199;-61,812099_-47,465199;-61,812099_-47,465199_2016;South Orkney Islands;-1949;South;234922;Hymenaster praecoquis;Sladen, 1882;Animalia;Echinodermata;Asteroidea;Velatida;Pterasteridae;Hymenaster;;praecoquis
4060;Brooding;JR15005 British Antarctic Survey;2016;-61.8335;-47.44217;-61,8335_-47,44217;-61,8335_-47,44217_2016;South Orkney Islands;-1954;South;234922;Hymenaster praecoquis;Sladen, 1882;Animalia;Echinodermata;Asteroidea;Velatida;Pterasteridae;Hymenaster;;praecoquis
4061;Brooding;JR15005 British Antarctic Survey;2016;-60.27279;-46.87778;-60,27279_-46,87778;-60,27279_-46,87778_2016;South Orkney Islands;-486;South;172704;Kampylaster incurvatus;Koehler, 1920;Animalia;Echinodermata;Asteroidea;Valvatida;Asterinidae;Kampylaster;;incurvatus
4062;Brooding;JR15005 British Antarctic Survey;2016;-60.27661;-46.86591;-60,27661_-46,86591;-60,27661_-46,86591_2016;South Orkney Islands;-486;South;172704;Kampylaster incurvatus;Koehler, 1920;Animalia;Echinodermata;Asteroidea;Valvatida;Asterinidae;Kampylaster;;incurvatus
4063;Brooding;JR15005 British Antarctic Survey;2016;-60.3208;-46.76743;-60,3208_-46,76743;-60,3208_-46,76743_2016;South Orkney Islands;-837;South;172704;Kampylaster incurvatus;Koehler, 1920;Animalia;Echinodermata;Asteroidea;Valvatida;Asterinidae;Kampylaster;;incurvatus
