"zone","label","data2.lat","data2.lon"
"R-03",258,-63.4166679382324,-64.5833358764648
"R-03",259,-63.4166679382324,-64.0833358764648
"R-04",260,-63.4166679382324,-53.0833320617676
"R-03",261,-63.0833320617676,-64.5833358764648
"R-04",262,-63.0833320617676,-53.5833320617676
"R-04",263,-63.0833320617676,-53.0833320617676
"R-03",264,-62.75,-64.5833358764648
"R-03",265,-62.75,-64.0833358764648
"R-04",266,-62.75,-53.5833320617676
"R-03",267,-62.4166679382324,-64.0833358764648
"R-03",268,-62.4166679382324,-63.5833320617676
"R-04",269,-62.4166679382324,-55.0833320617676
"R-04",270,-62.4166679382324,-54.5833320617676
"R-04",271,-62.4166679382324,-54.0833320617676
"R-03",272,-62.0833320617676,-63.5833320617676
"R-03",273,-62.0833320617676,-63.0833320617676
"R-03",274,-62.0833320617676,-62.5833320617676
"R-03",275,-62.0833320617676,-62.0833320617676
"R-04",276,-62.0833320617676,-54.0833320617676
"R-04",277,-62.0833320617676,-53.5833320617676
"R-04",278,-62.0833320617676,-53.0833320617676
"R-04",279,-62.0833320617676,-52.5833320617676
"R-03",280,-61.75,-62.0833320617676
"R-03",281,-61.75,-61.5833320617676
"R-03",282,-61.75,-61.0833320617676
"R-03",283,-61.75,-60.5833320617676
"R-04",284,-61.75,-52.5833320617676
"R-04",285,-61.75,-52.0833320617676
"R-03",286,-61.4166679382324,-60.0833320617676
"R-03",287,-61.4166679382324,-59.5833320617676
"R-03",288,-61.4166679382324,-52.5833320617676
"R-03",289,-61.4166679382324,-52.0833320617676
"R-07",290,-61.4166679382324,-47.0833320617676
"R-07",291,-61.4166679382324,-46.5833320617676
"R-07",292,-61.4166679382324,-46.0833320617676
"R-07",293,-61.4166679382324,-45.5833320617676
"R-07",294,-61.4166679382324,-45.0833320617676
"R-07",295,-61.4166679382324,-44.5833320617676
"R-03",296,-61.0833320617676,-59.5833320617676
"R-03",297,-61.0833320617676,-59.0833320617676
"R-03",298,-61.0833320617676,-58.5833320617676
"R-03",299,-61.0833320617676,-58.0833320617676
"R-03",300,-61.0833320617676,-57.5833320617676
"R-03",301,-61.0833320617676,-57.0833320617676
"R-03",302,-61.0833320617676,-52.5833320617676
"R-03",303,-61.0833320617676,-52.0833320617676
"R-07",304,-61.0833320617676,-47.5833320617676
"R-07",305,-61.0833320617676,-47.0833320617676
"R-07",306,-61.0833320617676,-44.0833320617676
"R-07",307,-61.0833320617676,-43.5833320617676
"R-03",308,-60.75,-57.0833320617676
"R-03",309,-60.75,-53.0833320617676
"R-03",310,-60.75,-52.5833320617676
"R-07",311,-60.75,-47.5833320617676
"R-07",312,-60.75,-43.5833320617676
"R-03",313,-60.4166679382324,-56.5833320617676
"R-03",314,-60.4166679382324,-56.0833320617676
"R-03",315,-60.4166679382324,-54.0833320617676
"R-03",316,-60.4166679382324,-53.5833320617676
"R-03",317,-60.4166679382324,-53.0833320617676
"R-07",318,-60.4166679382324,-47.5833320617676
"R-07",319,-60.4166679382324,-43.5833320617676
"R-08",320,-60.4166679382324,-27.5833339691162
"R-08",321,-60.4166679382324,-27.0833339691162
"R-08",322,-60.4166679382324,-26.5833339691162
"R-03",323,-60.0833320617676,-55.5833320617676
"R-03",324,-60.0833320617676,-55.0833320617676
"R-03",325,-60.0833320617676,-54.5833320617676
"R-07",326,-60.0833320617676,-47.5833320617676
"R-07",327,-60.0833320617676,-47.0833320617676
"R-07",328,-60.0833320617676,-44.0833320617676
"R-08",329,-60.0833320617676,-28.5833339691162
"R-08",330,-60.0833320617676,-28.0833339691162
"R-08",331,-60.0833320617676,-26.5833339691162
"R-08",332,-60.0833320617676,-26.0833339691162
"R-08",333,-60.0833320617676,-25.5833339691162
"R-07",334,-59.75,-47.0833320617676
"R-07",335,-59.75,-46.5833320617676
"R-07",336,-59.75,-46.0833320617676
"R-07",337,-59.75,-45.5833320617676
"R-07",338,-59.75,-45.0833320617676
"R-07",339,-59.75,-44.5833320617676
"R-08",340,-59.75,-29.0833339691162
"R-08",341,-59.75,-28.5833339691162
"R-08",342,-59.75,-25.5833339691162
"R-08",343,-59.4166679382324,-29.0833339691162
"R-08",344,-59.4166679382324,-25.0833339691162
"R-08",345,-59.0833320617676,-29.0833339691162
"R-08",346,-59.0833320617676,-28.5833339691162
"R-08",347,-59.0833320617676,-25.0833339691162
"R-08",348,-58.75,-28.5833339691162
"R-08",349,-58.75,-28.0833339691162
"R-08",350,-58.75,-25.0833339691162
"R-08",351,-58.75,-24.5833339691162
"R-08",352,-58.4166679382324,-28.0833339691162
